DBN,sch.name,sch.pop,sch.rig.instr,sch.coll.teach,sch.support.env,sch.eff.lead,sch.fam.inv,sch.trust,sch.ela,sch.mth,sch.ell,sch.iep,sch.contained,sch.ENI,sch.tmp.hous,sch.HRA,sch.eth.aapi,sch.eth.bl,sch.eth.his,sch.eth.wh,sch.princ.yrs,sch.teach.3plus,sch.st.att,sch.abs.18plus,sch.tch.att,sch.coll.3sem,sch.grad
11X299,Astor Collegiate Academy,500,0.8,0.77,0.64,0.75,0.87,0.82,2.75,2.56,0.076,0.23,0.012,0.75,0.102,0.636,0.08,0.276,0.49,0.122,8.7,0.7,0.838,0.425,0.972,0.551,0.72
11X418,Bronx High School for the Visual Arts,461,0.69,0.71,0.64,0.73,0.87,0.81,2.69,2.33,0.061,0.291,0,0.79,0.121,0.685,0.037,0.269,0.588,0.095,4.1,0.743,0.835,0.516,0.957,0.366,0.76
11X455,Harry S Truman High School,2081,0.83,0.86,0.67,0.9,0.84,0.9,2.62,2.3,0.084,0.254,0.11,0.76,0.159,0.665,0.032,0.5,0.42,0.031,5.9,0.79,0.89,0.253,0.965,0.421,0.74
11X508,Bronxdale High School,459,0.84,0.95,0.78,0.96,0.89,0.95,2.81,2.53,0.068,0.233,0.002,0.76,0.113,0.643,0.05,0.281,0.571,0.083,7.2,0.59,0.846,0.514,0.963,0.473,0.81
11X509,High School of Language and Innovation,379,0.78,0.89,0.78,0.87,0.82,0.87,2.03,2.17,0.802,0.045,0.005,0.98,0.269,0.815,0.201,0.058,0.538,0.187,8.1,0.563,0.902,0.338,0.973,0.494,0.83
11X513,New World High School,381,0.83,0.89,0.79,0.9,0.85,0.91,2.1,2.15,0.688,0.068,0.003,0.94,0.231,0.777,0.097,0.121,0.669,0.11,1.8,0.68,0.898,0.288,0.975,0.598,0.84
11X514,The Bronxwood Preparatory Academy,360,0.76,0.93,0.68,0.94,0.89,0.92,2.57,2.15,0.097,0.219,0.006,0.75,0.131,0.653,0.039,0.633,0.261,0.036,14.1,0.731,0.906,0.291,0.956,0.394,0.63
11X542,Pelham Preparatory Academy,511,0.75,0.8,0.71,0.78,0.87,0.83,2.89,2.61,0.061,0.245,0.002,0.74,0.106,0.63,0.074,0.254,0.55,0.104,3,0.793,0.885,0.344,0.955,0.692,0.86
11X544,High School for Contemporary Arts,395,0.84,0.92,0.71,0.93,0.91,0.9,2.52,2.19,0.172,0.253,0.066,0.88,0.182,0.765,0.018,0.395,0.542,0.035,3.7,0.893,0.859,0.387,0.964,0.301,0.82
11X545,Bronx Aerospace High School,322,0.79,0.79,0.58,0.79,0.86,0.8,2.43,2.16,0.18,0.267,0.012,0.87,0.227,0.767,0.053,0.376,0.525,0.022,5,0.87,0.76,0.674,0.959,0.344,0.66
12X242,Mott Hall V,372,0.73,0.74,0.76,0.76,0.88,0.84,2.73,2.41,0.099,0.28,0.083,0.87,0.075,0.78,0.051,0.161,0.782,0.005,14.1,0.719,0.884,0.418,0.968,0.602,0.85
12X248,"Metropolitan High School, The",356,0.59,0.65,0.61,0.72,0.81,0.76,2.35,2.12,0.225,0.303,0.034,0.94,0.239,0.851,0.011,0.236,0.725,0.017,1.9,0.632,0.777,0.635,0.968,0.258,0.59
12X251,Explorations Academy H.S.,326,0.71,0.54,0.69,0.57,0.87,0.77,2.42,2.25,0.218,0.245,0.006,0.92,0.202,0.819,0.015,0.279,0.69,0.006,12,0.667,0.821,0.522,0.958,0.313,0.65
12X267,Bronx Latin,338,0.8,0.8,0.68,0.81,0.91,0.86,2.67,2.6,0.121,0.237,0,0.89,0.077,0.808,0.015,0.198,0.772,0.012,6.9,0.519,0.889,0.299,0.965,0.582,0.9
12X271,East Bronx Academy for the Future,388,0.82,0.86,0.69,0.9,0.91,0.9,2.53,2.31,0.16,0.309,0.095,0.93,0.17,0.858,0.021,0.255,0.693,0.015,15.1,0.672,0.83,0.478,0.945,0.361,0.75
12X388,Pan American International High School at Monroe,444,0.91,0.94,0.91,0.96,0.92,0.93,1.77,1.86,0.878,0.032,0.002,0.98,0.329,0.723,0,0.005,0.993,0,11.1,0.722,0.875,0.405,0.982,0.291,0.84
12X478,The Cinema School,317,0.77,0.84,0.65,0.84,0.85,0.87,3.05,2.85,0.047,0.189,0.003,0.85,0.12,0.726,0.016,0.161,0.729,0.035,5.9,0.5,0.888,0.376,0.972,0.691,0.99
12X479,Bronx Career and College Preparatory High School,268,0.69,0.71,0.65,0.89,0.87,0.84,2.48,2.23,0.239,0.287,0.019,0.93,0.239,0.851,0.026,0.358,0.593,0.004,4,0.7,0.806,0.566,0.955,0.207,0.58
12X511,Bronx Envision Academy,418,0.8,0.89,0.69,0.93,0.89,0.91,2.61,2.24,0.167,0.242,0,0.9,0.199,0.792,0.022,0.337,0.61,0.017,8.1,0.686,0.847,0.491,0.963,0.427,0.75
12X521,The Metropolitan Soundview High School,423,0.8,0.84,0.69,0.92,0.91,0.89,2.47,2.2,0.156,0.239,0.019,0.89,0.144,0.783,0.026,0.232,0.719,0.017,3.9,0.694,0.816,0.551,0.962,0.378,0.72
12X550,High School of World Cultures,459,0.85,0.91,0.8,0.91,0.93,0.91,2.06,2.06,0.797,0.044,0,0.98,0.235,0.804,0.094,0.089,0.758,0.046,15.9,0.485,0.855,0.425,0.974,0.154,0.57
12X682,Fannie Lou Hamer Freedom High School,471,0.85,0.95,0.79,0.98,0.97,0.97,2.41,2.1,0.127,0.318,0.085,0.91,0.187,0.83,0.008,0.282,0.677,0.013,4.9,0.829,0.789,0.619,0.979,0.339,0.74
12X684,Wings Academy,463,0.71,0.7,0.56,0.84,0.83,0.82,2.37,2.07,0.05,0.302,0.035,0.92,0.184,0.86,0.004,0.562,0.397,0.015,5.6,0.848,0.777,0.627,0.962,0.28,0.63
13K265,Dr. Susan S. McKinney Secondary School of the Arts,223,0.78,0.8,0.67,0.85,0.94,0.89,2.69,2.26,0.022,0.229,0.013,0.88,0.148,0.798,0.018,0.726,0.229,0.009,4.9,1,0.779,0.548,0.959,0.299,0.69
13K350,Urban Assembly School for Music and Art,207,0.92,0.98,0.82,0.97,0.96,0.94,2.75,2.36,0.043,0.237,0,0.84,0.145,0.768,0.005,0.739,0.227,0.019,14.1,0.533,0.809,0.526,0.968,0.469,0.86
13K412,Brooklyn Community Arts & Media High School (BCAM),421,0.82,0.83,0.7,0.9,0.91,0.89,2.72,2.32,0.036,0.266,0.002,0.81,0.138,0.732,0.01,0.696,0.276,0.007,13.1,0.742,0.841,0.46,0.985,0.339,0.84
13K419,"Science Skills Center High School for Science, Tec",570,0.75,0.75,0.64,0.79,0.9,0.78,2.96,2.84,0.033,0.144,0,0.75,0.114,0.625,0.081,0.667,0.177,0.042,7.2,0.765,0.918,0.273,0.972,0.574,0.96
13K430,Brooklyn Technical High School,5937,0.8,0.74,0.76,0.78,0.74,0.86,4.03,4.27,0,0.013,0,0.52,0.033,0.408,0.607,0.058,0.071,0.245,2.5,0.89,0.955,0.106,0.967,0.897,0.97
13K439,Brooklyn International High School,359,0.86,0.89,0.82,0.87,0.87,0.94,1.99,2.26,0.763,0.033,0,0.95,0.148,0.777,0.251,0.206,0.435,0.109,4.9,0.885,0.907,0.312,0.981,0.545,0.74
13K483,The Urban Assembly School for Law and Justice,435,0.83,0.84,0.71,0.93,0.91,0.91,2.88,2.6,0.021,0.172,0.005,0.69,0.094,0.579,0.025,0.667,0.267,0.018,2,0.833,0.884,0.385,0.976,0.751,0.95
13K499,ACORN Community High School,150,0.59,0.93,0.72,0.9,0.9,0.94,2.58,2.28,0.047,0.273,0.013,0.85,0.14,0.793,0.033,0.787,0.133,0.027,9,1,0.701,0.711,0.961,0.392,0.73
13K527,Urban Assembly Institute of Math and Science for Y,295,0.78,0.86,0.68,0.91,0.91,0.9,2.79,2.5,0.081,0.173,0.003,0.8,0.068,0.702,0.088,0.586,0.166,0.139,8.9,0.639,0.849,0.507,0.97,0.631,0.9
13K594,Gotham Professional Arts Academy,178,0.83,0.9,0.74,0.95,0.89,0.91,2.56,2.28,0.039,0.36,0,0.86,0.23,0.758,0.006,0.775,0.208,0.006,0.7,0.867,0.804,0.564,0.984,0.404,0.75
13K595,Bedford Academy High School,363,0.87,0.83,0.8,0.92,0.92,0.91,3.33,3.29,0.011,0.138,0.003,0.62,0.061,0.49,0.039,0.785,0.085,0.036,9.2,0.952,0.921,0.197,0.974,0.687,0.99
13K605,George Westinghouse Career and Technical Education,776,0.7,0.62,0.57,0.71,0.85,0.81,2.75,2.63,0.023,0.174,0.017,0.75,0.095,0.642,0.04,0.683,0.235,0.017,1.9,0.623,0.884,0.368,0.97,0.307,0.92
13K670,Benjamin Banneker Academy,810,0.82,0.82,0.71,0.87,0.9,0.89,3.26,3.17,0.015,0.146,0.021,0.67,0.078,0.535,0.053,0.799,0.111,0.009,3,0.796,0.889,0.367,0.964,0.733,0.98
13K674,"City Polytechnic High School of Engineering, Archi",426,0.69,0.64,0.65,0.79,0.85,0.86,2.98,3,0.016,0.19,0,0.63,0.063,0.509,0.054,0.655,0.214,0.061,1.2,0.759,0.909,0.275,0.97,0.4,0.86
14K071,Juan Morel Campos Secondary School,329,0.84,0.81,0.78,0.84,0.97,0.9,2.33,2.14,0.304,0.307,0.079,0.92,0.191,0.842,0.015,0.14,0.769,0.064,2.7,0.767,0.866,0.399,0.961,0.326,0.6
14K449,"Brooklyn Latin School, The",698,0.88,0.79,0.78,0.79,0.8,0.88,3.95,4.18,0,0.023,0,0.56,0.044,0.43,0.547,0.122,0.12,0.13,6.1,1,0.936,0.255,0.968,0.931,0.97
14K454,The Williamsburg High School of Art and Technology,302,0.81,0.87,0.74,0.93,0.89,0.92,2.58,2.42,0.238,0.252,0.013,0.83,0.185,0.715,0.033,0.225,0.675,0.053,7.5,0.833,0.851,0.484,0.966,0.281,0.82
14K474,PROGRESS High School for Professional Careers,674,0.7,0.71,0.66,0.74,0.88,0.8,2.58,2.34,0.206,0.212,0.03,0.88,0.141,0.777,0.006,0.273,0.688,0.012,0.5,0.705,0.781,0.528,0.96,0.303,0.76
14K477,East Williamsburg Scholars Academy,304,0.79,0.88,0.73,0.85,0.94,0.9,2.51,2.22,0.329,0.217,0.007,0.89,0.207,0.727,0.007,0.355,0.615,0.01,5.4,0.957,0.73,0.602,0.963,0.163,0.74
14K478,"The High School for Enterprise, Business and Techn",831,0.75,0.69,0.65,0.66,0.84,0.77,2.73,2.56,0.119,0.162,0.001,0.83,0.111,0.732,0.058,0.303,0.613,0.019,8.9,0.939,0.85,0.42,0.959,0.445,0.81
14K488,Brooklyn Preparatory High School,527,0.83,0.89,0.76,0.94,0.91,0.95,2.93,2.72,0.021,0.188,0.011,0.76,0.112,0.645,0.009,0.433,0.528,0.015,9,0.743,0.838,0.465,0.964,0.605,0.93
14K558,Williamsburg High School for Architecture and Desi,580,0.84,0.85,0.8,0.89,0.87,0.89,2.84,2.69,0.031,0.222,0.012,0.71,0.088,0.602,0.022,0.284,0.61,0.064,10.6,0.857,0.924,0.176,0.981,0.419,0.98
14K561,Williamsburg Preparatory School,682,0.83,0.85,0.76,0.88,0.9,0.94,2.87,2.66,0.047,0.211,0.006,0.79,0.072,0.692,0.031,0.157,0.704,0.092,8.6,0.911,0.903,0.292,0.972,0.643,0.96
14K586,Lyons Community School,298,0.8,0.84,0.68,0.88,0.94,0.92,2.45,2.14,0.128,0.242,0,0.9,0.164,0.829,0,0.302,0.658,0.034,12.1,0.786,0.788,0.533,0.969,0.483,0.72
14K610,Automotive High School,329,0.67,0.51,0.64,0.6,0.89,0.74,2.44,2.29,0.064,0.34,0.046,0.81,0.109,0.726,0.03,0.492,0.419,0.027,1,0.811,0.835,0.472,0.953,0.186,0.7
14K614,Young Women's Leadership School of Brooklyn,225,0.81,0.88,0.71,0.92,0.8,0.82,2.83,2.58,0.111,0.156,0.009,0.8,0.111,0.711,0.044,0.427,0.427,0.067,2.9,0.742,0.86,0.424,0.962,0.83,0.97
14K685,El Puente Academy for Peace and Justice,224,0.87,0.94,0.78,0.99,0.93,0.96,2.46,2.2,0.183,0.263,0.004,0.89,0.143,0.835,0.004,0.049,0.924,0.004,8,0.813,0.817,0.661,0.982,0.263,0.79
15K429,Digital Arts and Cinema Technology High School,246,0.78,0.81,0.7,0.87,0.86,0.86,2.85,2.67,0.004,0.215,0,0.76,0.049,0.667,0.037,0.545,0.35,0.053,5.8,0.7,0.906,0.32,0.977,0.5,0.98
15K448,Brooklyn Collaborative Studies,389,0.78,0.84,0.67,0.86,0.93,0.89,2.98,2.63,0.062,0.262,0.003,0.71,0.069,0.578,0.031,0.393,0.478,0.075,5,0.918,0.863,0.471,0.966,0.692,0.91
15K462,John Jay School for Law,436,0.71,0.68,0.62,0.69,0.78,0.77,2.85,2.55,0.032,0.188,0.002,0.76,0.115,0.661,0.023,0.626,0.294,0.028,2.1,0.576,0.843,0.466,0.972,0.557,0.91
15K463,Secondary School for Journalism,268,0.6,0.82,0.61,0.97,0.88,0.88,2.77,2.43,0.142,0.201,0.004,0.81,0.116,0.69,0.067,0.459,0.373,0.086,0.6,0.933,0.813,0.55,0.952,0.385,0.67
15K464,Park Slope Collegiate,440,0.7,0.68,0.62,0.77,0.86,0.82,2.8,2.64,0.073,0.207,0.007,0.71,0.068,0.611,0.043,0.382,0.457,0.093,15.1,0.736,0.845,0.474,0.963,0.348,0.86
15K497,The Boerum Hill School for International Studies,286,0.78,0.8,0.67,0.83,0.87,0.87,2.79,2.58,0.108,0.22,0.003,0.67,0.087,0.577,0.056,0.406,0.29,0.182,2,0.528,0.813,0.466,0.963,0.5,0.73
15K519,Cobble Hill School of American Studies,582,0.81,0.79,0.7,0.82,0.93,0.82,2.78,2.41,0.113,0.189,0.002,0.83,0.162,0.729,0.034,0.62,0.29,0.027,8.9,0.595,0.802,0.43,0.964,0.417,0.87
15K592,Khalil Gibran International Academy,226,0.75,0.67,0.71,0.81,0.84,0.89,2.6,2.52,0.372,0.181,0.004,0.86,0.119,0.792,0.177,0.358,0.08,0.314,7.9,0.6,0.831,0.498,0.965,0.423,0.56
15K656,Brooklyn High School of the Arts,939,0.83,0.91,0.72,0.93,0.91,0.93,3.15,2.81,0.011,0.176,0.05,0.66,0.073,0.534,0.034,0.653,0.213,0.048,3,0.723,0.892,0.344,0.966,0.62,0.91
15K667,Sunset Park High School,1216,0.71,0.61,0.7,0.63,0.85,0.78,2.66,2.55,0.219,0.204,0.025,0.86,0.086,0.754,0.099,0.075,0.74,0.081,4.9,0.704,0.85,0.426,0.956,0.528,0.83
15K684,Millennium Brooklyn HS,675,0.91,0.93,0.87,0.94,0.86,0.95,3.8,3.85,0.003,0.151,0,0.4,0.016,0.289,0.127,0.166,0.197,0.444,4,0.852,0.958,0.081,0.97,0.873,0.99
16K455,Boys and Girls High School,439,0.82,0.82,0.7,0.81,0.9,0.85,2.47,2.23,0.062,0.285,0.084,0.86,0.153,0.781,0.014,0.82,0.114,0.021,3,0.765,0.816,0.443,0.963,0.231,0.75
16K498,Brooklyn High School for Law and Technology,589,0.76,0.78,0.66,0.83,0.86,0.87,2.7,2.48,0.061,0.221,0.041,0.81,0.136,0.723,0.039,0.633,0.287,0.019,4,0.703,0.808,0.472,0.967,0.46,0.79
16K688,The Brooklyn Academy of Global Finance,105,0.78,0.84,0.69,0.9,0.9,0.92,2.4,2.14,0.143,0.267,0,0.92,0.2,0.867,0.076,0.714,0.162,0.029,6.9,0.636,0.849,0.44,0.954,0.229,0.74
16K765,Nelson Mandela High School,252,0.76,0.63,0.63,0.81,0.91,0.79,2.45,2.21,0.008,0.317,0.075,0.85,0.179,0.746,0.016,0.829,0.107,0.008,5.1,0.882,0.735,0.711,0.97,N<15,0.81
17K122,Pathways in Technology Early College High School (,581,0.77,0.79,0.75,0.82,0.9,0.9,2.85,2.65,0.022,0.174,0,0.66,0.081,0.535,0.017,0.824,0.119,0.009,8.1,0.853,0.911,0.215,0.969,0.299,0.77
17K382,Academy for College Preparation and Career Explora,230,0.78,0.86,0.68,0.9,0.87,0.86,2.58,2.25,0.178,0.17,0,0.79,0.161,0.665,0,0.83,0.1,0.022,2.5,0.773,0.852,0.425,0.991,0.359,0.79
17K408,Academy of Hospitality and Tourism,196,0.75,0.81,0.75,0.88,0.79,0.89,2.59,2.28,0.204,0.214,0,0.85,0.153,0.73,0.005,0.816,0.138,0.036,3.4,0.6,0.84,0.384,0.984,0.433,0.91
17K524,International High School at Prospect Heights,368,0.84,0.91,0.81,0.91,0.95,0.93,1.92,2.06,0.878,0.052,0.003,0.95,0.228,0.774,0.163,0.236,0.497,0.084,9.4,0.793,0.881,0.297,0.976,0.333,0.57
17K528,The High School for Global Citizenship,213,0.79,0.84,0.74,0.79,0.88,0.8,2.71,2.54,0.155,0.164,0,0.78,0.169,0.648,0.042,0.728,0.188,0.028,9,0.462,0.863,0.434,0.956,0.407,0.84
17K531,"School for Human Rights, The",330,0.81,0.82,0.7,0.87,0.88,0.88,2.71,2.36,0.082,0.191,0,0.76,0.127,0.636,0.021,0.87,0.085,0.012,12.1,1,0.89,0.282,0.969,0.448,0.83
17K537,High School for Youth and Community Development at,467,0.77,0.88,0.72,0.92,0.88,0.91,2.61,2.28,0.088,0.255,0.006,0.78,0.161,0.662,0.039,0.784,0.143,0.024,14.4,0.783,0.861,0.382,0.946,0.333,0.83
17K539,High School for Service & Learning at Erasmus,297,0.7,0.73,0.63,0.8,0.94,0.84,2.65,2.34,0.148,0.215,0.003,0.82,0.104,0.704,0.03,0.761,0.165,0.027,3.1,0.7,0.839,0.408,0.974,0.402,0.79
17K543,"Science, Technology and Research Early College Hig",356,0.93,0.91,0.82,0.95,0.99,0.93,3.38,3.38,0.011,0.135,0,0.57,0.042,0.455,0.039,0.795,0.126,0.011,11,0.788,0.964,0.089,0.986,0.847,1
17K546,High School for Public Service: Heroes of Tomorrow,462,0.79,0.87,0.7,0.89,0.89,0.92,3.14,2.88,0.015,0.175,0.05,0.73,0.104,0.621,0.037,0.771,0.158,0.013,6.5,0.793,0.922,0.208,0.967,0.86,0.88
17K547,Brooklyn Academy of Science and the Environment,382,0.68,0.73,0.67,0.8,0.86,0.86,2.72,2.6,0.058,0.162,0.003,0.76,0.131,0.654,0.039,0.804,0.115,0.031,2.1,0.952,0.904,0.247,0.978,0.495,0.74
17K548,Brooklyn School for Music & Theatre,296,0.78,0.88,0.67,0.92,0.82,0.9,2.63,2.28,0.027,0.223,0.024,0.82,0.199,0.764,0.003,0.777,0.199,0.017,12,0.682,0.835,0.458,0.952,0.427,0.79
17K590,Medgar Evers College Preparatory School,897,0.81,0.83,0.59,0.91,0.96,0.87,3.64,3.63,0.006,0.088,0.003,0.55,0.064,0.415,0.025,0.871,0.056,0.01,17.9,0.855,0.932,0.211,0.965,0.742,0.96
17K600,Clara Barton High School,1200,0.73,0.77,0.6,0.8,0.83,0.83,2.85,2.56,0.078,0.181,0.073,0.72,0.108,0.592,0.014,0.892,0.073,0.009,12.5,0.857,0.87,0.371,0.957,0.523,0.81
17K745,Brooklyn Institute for Liberal Arts,415,0.8,0.85,0.71,0.89,0.89,0.88,2.8,2.52,0.046,0.207,0.002,0.71,0.149,0.576,0.017,0.87,0.104,0.002,7.1,0.407,0.911,0.261,0.976,0.529,0.92
17K751,Academy for Health Careers,301,0.81,0.77,0.66,0.83,0.87,0.83,2.8,2.5,0.037,0.143,0.037,0.82,0.156,0.724,0.047,0.771,0.14,0.017,9.1,0.926,0.864,0.46,0.992,0.513,0.8
18K563,It Takes a Village Academy,659,0.7,0.64,0.63,0.62,0.82,0.71,2.83,2.64,0.176,0.152,0.021,0.76,0.096,0.624,0.018,0.891,0.067,0.011,1.6,0.74,0.9,0.301,0.975,0.47,0.87
18K566,Brooklyn Generation School,189,0.77,0.8,0.7,0.89,0.91,0.9,2.58,2.16,0.122,0.238,0.005,0.75,0.116,0.64,0.005,0.81,0.122,0.048,1.6,0.95,0.899,0.23,0.968,0.459,0.77
18K567,Brooklyn Theatre Arts High School,350,0.71,0.8,0.62,0.81,0.86,0.84,2.59,2.29,0.023,0.174,0.006,0.79,0.109,0.706,0.023,0.837,0.103,0.02,6.9,0.722,0.81,0.565,0.955,0.364,0.85
18K569,Kurt Hahn Expeditionary Learning School,294,0.65,0.7,0.68,0.78,0.87,0.83,2.51,2.19,0.071,0.289,0.02,0.75,0.116,0.66,0.007,0.891,0.065,0.017,4.9,0.808,0.87,0.402,0.96,0.471,0.75
18K576,Victory Collegiate High School,341,0.71,0.7,0.66,0.81,0.87,0.89,2.55,2.32,0.067,0.255,0.009,0.77,0.106,0.683,0.018,0.824,0.106,0.041,3.3,0.75,0.854,0.523,0.966,0.379,0.79
18K617,High School for Innovation in Advertising and Medi,240,0.74,0.8,0.7,0.7,0.95,0.9,2.54,2.39,0.092,0.225,0.054,0.72,0.075,0.629,0.017,0.808,0.117,0.046,11.1,0.5,0.828,0.549,0.974,0.375,0.84
18K629,Cultural Academy for the Arts and Sciences,282,0.75,0.72,0.69,0.79,0.87,0.85,2.53,2.31,0.117,0.22,0.014,0.74,0.11,0.638,0.014,0.84,0.096,0.025,2.9,0.727,0.853,0.42,0.961,0.382,0.71
18K633,High School for Medical Professions,460,0.77,0.77,0.7,0.83,0.97,0.87,2.88,2.65,0.043,0.152,0.002,0.71,0.089,0.598,0.03,0.789,0.13,0.037,5.9,0.75,0.894,0.351,0.96,0.768,0.89
18K637,Academy for Conservation and the Environment,300,0.85,0.93,0.73,0.95,0.94,0.95,2.65,2.4,0.133,0.177,0.003,0.77,0.16,0.673,0.06,0.753,0.097,0.063,7.9,0.478,0.858,0.413,0.982,0.563,0.87
18K642,Urban Action Academy,264,0.67,0.54,0.52,0.62,0.83,0.78,2.46,2.27,0.231,0.159,0.045,0.8,0.11,0.682,0.027,0.765,0.117,0.091,1,0.882,0.786,0.612,0.927,0.463,0.65
19K404,Academy for Young Writers,336,0.78,0.75,0.68,0.77,0.93,0.83,2.89,2.39,0.039,0.196,0.003,0.79,0.11,0.693,0.006,0.705,0.265,0.015,2.9,0.771,0.873,0.449,0.951,0.699,0.92
19K409,East New York Family Academy,289,0.86,0.86,0.72,0.89,0.92,0.92,2.78,2.66,0.031,0.228,0,0.8,0.114,0.709,0.042,0.623,0.304,0.007,5.7,0.872,0.883,0.409,0.96,0.635,0.95
19K422,Spring Creek Community School,303,0.77,0.7,0.67,0.76,0.89,0.8,2.69,2.45,0.033,0.224,0.013,0.77,0.099,0.653,0.01,0.716,0.231,0.01,7.1,0.66,0.879,0.377,0.962,N<15,0.97
19K502,FDNY - Captain Vernon A. Richard High School for F,277,0.81,0.88,0.75,0.95,0.91,0.91,2.46,2.2,0.04,0.274,0.051,0.85,0.199,0.762,0.014,0.697,0.264,0.007,11.9,0.8,0.743,0.584,0.965,0.321,0.82
19K504,High School for Civil Rights,239,0.8,0.83,0.73,0.85,0.87,0.9,2.35,2.2,0.117,0.268,0,0.87,0.238,0.736,0.021,0.682,0.268,0.017,0.1,0.923,0.786,0.588,0.965,0.224,0.63
19K507,Performing Arts and Technology High School,409,0.74,0.8,0.71,0.81,0.87,0.87,2.62,2.35,0.181,0.23,0.049,0.86,0.166,0.736,0.017,0.599,0.364,0.01,6.1,0.741,0.872,0.302,0.959,0.309,0.93
